Auswertungsart;Schlüssel;Schlüssel 2;Jahr;Periodentyp;Periode;Auftragsbestand;archivierter AB;AB Menge (SME);AB Wert (SME);AE Fracht;AE Gewicht Komm;AE Gewicht Lager;AE Gewicht Strecke;AE Kommission;AE Lager;AE Menge Komm;AE Menge Lager;AE Menge SME;AE Menge Str;AE in SME;AE Strecke;AE Kopfzuschlag;Anzahl Anfragen;Anzahl Angebote;# AngebotsPos;Anzahl Aufträge;# AuftragsPos;# Bestellungen;# Gutschriften;# GutschrPos;# Lagerpl bel;# Lagerpl ges;# Lieferscheine;# LSPos;# offene Aufträge;# off AuftragsPos;# Rechnungen;# RechnungsPos;# Wareneingänge;BA Gew Komm;BA Gew Lager;BA Gew Strecke;BA Kommission;BA Lager;BA Menge Komm;BA Menge Lager;BA SME;BA Menge Strecke;BA Strecke;BA Kopfzuschlag;Bestellbestand;EK Gew Komm;EK Gew Lager;EK Gew Strecke;EK Kommission;EK Lager;EK Menge Komm;EK Menge Lager;EK SME;EK Menge Strecke;EK Plan;EK Strecke;EK Kopfzuschlag;Eurokonvertierung;Forderungen;Stückzeit Ist;Rüstzeit Ist;Ressourcenkalender;Stückzeit Soll;Rüstzeit Soll;Lagerbestand;Lagerbestand VKE;Lagerbestand VKP;Verbrauch VKEink;Verbrauch VKProd;Menge Verbrauch;AbgWertProd;Abgang Menge Prod;FertKosten Aus;FertKosten gut;Planverteilung;Zugang Wert Prod;Zugang Menge Prod;RE Kommission;RE Lager;RE Plan;RE in SME;RE Strecke;Verbindlichkeiten;VK Fracht;VK Gew Kommission;VK Gew Lager;VK Gew Strecke;VK Kommission;VK Lager;VK Menge Komm;VK Menge Lager;VK SME;VK SME Plan;VK Menge Stre;VK Plan;Preisnachlass;VK SME;VK Strecke;VK Kopfzuschlag;Profitcenter
;;;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;no;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;?;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
Column;Column Name;Description / Remark;Location in proALPHA;Data Type;Format
1;Auswertungsart;Analysis Category;IA_Statistik.AuswArt;CHARACTER;x(3);
2;Schlüssel;Key 1;IA_Statistik.Schluessel_1;CHARACTER;x(60);
3;Schlüssel 2;Key 2;IA_Statistik.Schluessel_2;CHARACTER;x(60);
4;Jahr;Year;IA_Statistik.Jahr;INTEGER;9999;
5;Periodentyp;Period Type;IA_Statistik.PeriodenTyp;INTEGER;9;
6;Periode;Period;IA_Statistik.Periode;INTEGER;zz9;
7;Auftragsbestand;Order Backlog;IA_Statistik.AB;DECIMAL;zzz,zzz,zz9.99-;
8;archivierter AB;CSOArchived;IA_Statistik.ABarchiv;DECIMAL;zzz,zzz,zz9.99-;
9;AB Menge (SME);Order Backlog in ScUM;IA_Statistik.ABMSME;DECIMAL;-zzz,zzz,zz9.999;
10;AB Wert (SME);Order Backlog Value in ScUM;IA_Statistik.ABSME;DECIMAL;zzz,zzz,zz9.99-;
11;AE Fracht;OE Freight;IA_Statistik.AEFr;DECIMAL;zzz,zzz,zz9.99-;
12;AE Gewicht Komm;OE Weight CRO;IA_Statistik.AEGewKo;DECIMAL;->>>,>>>,>>9.99;
13;AE Gewicht Lager;OE Weight Storage Area;IA_Statistik.AEGewLa;DECIMAL;->>>,>>>,>>9.99;
14;AE Gewicht Strecke;OE Weight Drop Shipment;IA_Statistik.AEGewSt;DECIMAL;->>>,>>>,>>9.99;
15;AE Kommission;OE CRO;IA_Statistik.AEKo;DECIMAL;zzz,zzz,zz9.99-;
16;AE Lager;OE Storage Area;IA_Statistik.AELa;DECIMAL;zzz,zzz,zz9.99-;
17;AE Menge Komm;OE Quantity CRO;IA_Statistik.AEMKo;DECIMAL;-zzz,zzz,zz9.999;
18;AE Menge Lager;OE Quantity Storage Area;IA_Statistik.AEMLa;DECIMAL;-zzz,zzz,zz9.999;
19;AE Menge SME;OE Quantity ScUM;IA_Statistik.AEMSME;DECIMAL;-zzz,zzz,zz9.999;
20;AE Menge Str;OE Quantity Drop Shipment;IA_Statistik.AEMSt;DECIMAL;-zzz,zzz,zz9.999;
21;AE in SME;OE in ScUM;IA_Statistik.AESME;DECIMAL;zzz,zzz,zz9.99-;
22;AE Strecke;OE DropShp;IA_Statistik.AESt;DECIMAL;zzz,zzz,zz9.99-;
23;AE Kopfzuschlag;OE Header Surcharges;IA_Statistik.AEZu;DECIMAL;zzz,zzz,zz9.99-;
24;Anzahl Anfragen;Number of Requests for Quote;IA_Statistik.AnzAnf;INTEGER;->,>>>,>>9;
25;Anzahl Angebote;Number of Quotes;IA_Statistik.AnzAng;INTEGER;->,>>>,>>9;
26;# AngebotsPos;Number of Quote Lines;IA_Statistik.AnzAngPos;INTEGER;->,>>>,>>9;
27;Anzahl Aufträge;Number of Orders;IA_Statistik.AnzAuf;INTEGER;->,>>>,>>9;
28;# AuftragsPos;Number of Order Lines;IA_Statistik.AnzAufPos;INTEGER;->,>>>,>>9;
29;# Bestellungen;Number of Purchase Orders;IA_Statistik.AnzBest;INTEGER;->,>>>,>>9;
30;# Gutschriften;Number of Credit Memos;IA_Statistik.AnzGU;INTEGER;->,>>>,>>9;
31;# GutschrPos;Number of Credit Lines;IA_Statistik.AnzGUPos;INTEGER;->,>>>,>>9;
32;# Lagerpl bel;Number of Storage Locations Occupied;IA_Statistik.AnzLPBel;INTEGER;->,>>>,>>9;
33;# Lagerpl ges;Number of Storage Locations Total;IA_Statistik.AnzLPGes;INTEGER;->,>>>,>>9;
34;# Lieferscheine;Number of Shipping Documents;IA_Statistik.AnzLS;INTEGER;->,>>>,>>9;
35;# LSPos;Number of Shipping Document Lines;IA_Statistik.AnzLSPos;INTEGER;->,>>>,>>9;
36;# offene Aufträge;Number of Open Orders;IA_Statistik.AnzOffAuf;INTEGER;->,>>>,>>9;
37;# off AuftragsPos;Number of Open Order Lines;IA_Statistik.AnzOffAufPos;INTEGER;->,>>>,>>9;
38;# Rechnungen;Number of Invoices;IA_Statistik.AnzRe;INTEGER;->,>>>,>>9;
39;# RechnungsPos;Number of Invoice Lines;IA_Statistik.AnzRePos;INTEGER;->,>>>,>>9;
40;# Wareneingänge;Number of Stock Receipts;IA_Statistik.AnzWE;INTEGER;->,>>>,>>9;
41;BA Gew Komm;POL Weight CRO;IA_Statistik.BAGewKo;DECIMAL;->>>,>>>,>>9.99;
42;BA Gew Lager;POL Weight Storage Area;IA_Statistik.BAGewLa;DECIMAL;->>>,>>>,>>9.99;
43;BA Gew Strecke;POL Weight Drop Shipment;IA_Statistik.BAGewSt;DECIMAL;->>>,>>>,>>9.99;
44;BA Kommission;POL CRO;IA_Statistik.BAKo;DECIMAL;zzz,zzz,zz9.99-;
45;BA Lager;POL Storage Area;IA_Statistik.BALa;DECIMAL;zzz,zzz,zz9.99-;
46;BA Menge Komm;POL Quantity CRO;IA_Statistik.BAMKo;DECIMAL;-zzz,zzz,zz9.999;
47;BA Menge Lager;POL Quantity Storage Area;IA_Statistik.BAMLa;DECIMAL;-zzz,zzz,zz9.999;
48;BA SME;PO Log in ScUM;IA_Statistik.BAMSME;DECIMAL;-zzz,zzz,zz9.999;
49;BA Menge Strecke;POL Qty DropShip;IA_Statistik.BAMSt;DECIMAL;-zzz,zzz,zz9.999;
50;BA Strecke;POL Drop Shipment;IA_Statistik.BASt;DECIMAL;zzz,zzz,zz9.99-;
51;BA Kopfzuschlag;POL Surch;IA_Statistik.BAZu;DECIMAL;zzz,zzz,zz9.99-;
52;Bestellbestand;On Order Quantity;IA_Statistik.BB;DECIMAL;zzz,zzz,zz9.99-;
53;EK Gew Komm;Pu Weight CRO;IA_Statistik.EKGewKo;DECIMAL;->>>,>>>,>>9.99;
54;EK Gew Lager;Pu Weight Storage Area;IA_Statistik.EKGewLa;DECIMAL;->>>,>>>,>>9.99;
55;EK Gew Strecke;Pu Wgt Drop Ship;IA_Statistik.EKGewSt;DECIMAL;->>>,>>>,>>9.99;
56;EK Kommission;Pu CRO;IA_Statistik.EKKo;DECIMAL;zzz,zzz,zz9.99-;
57;EK Lager;Pu Storage Area;IA_Statistik.EKLa;DECIMAL;zzz,zzz,zz9.99-;
58;EK Menge Komm;Pu Quantity CRO;IA_Statistik.EKMKo;DECIMAL;-zzz,zzz,zz9.999;
59;EK Menge Lager;Pu Quantity Storage Area;IA_Statistik.EKMLa;DECIMAL;-zzz,zzz,zz9.999;
60;EK SME;Pu in ScUM;IA_Statistik.EKMSME;DECIMAL;-zzz,zzz,zz9.999;
61;EK Menge Strecke;Pu Quantity Drop Shipment;IA_Statistik.EKMSt;DECIMAL;-zzz,zzz,zz9.999;
62;EK Plan;Pu Budgeted Values Total;IA_Statistik.EKPlan;DECIMAL;zzz,zzz,zz9.99-;
63;EK Strecke;Pu Drop Shipment;IA_Statistik.EKSt;DECIMAL;zzz,zzz,zz9.99-;
64;EK Kopfzuschlag;Pu Header Surcharge;IA_Statistik.EKZu;DECIMAL;zzz,zzz,zz9.99-;
65;Eurokonvertierung;Euro Conversion;IA_Statistik.Eurokonvertierung;LOGICAL;ja/nein;
66;Forderungen;Receivables;IA_Statistik.FO;DECIMAL;zzz,zzz,zz9.99-;
67;Stückzeit Ist;Unit Time Actual;IA_Statistik.KapIstBea;INTEGER;zz,zzz,zz9-;
68;Rüstzeit Ist;Setup Time Actual;IA_Statistik.KapIstRue;INTEGER;zz,zzz,zz9-;
69;Ressourcenkalender;Capacity Calendar;IA_Statistik.KapKal;INTEGER;zz,zzz,zz9-;
70;Stückzeit Soll;Unit Time Target;IA_Statistik.KapSolBea;INTEGER;zz,zzz,zz9-;
71;Rüstzeit Soll;Setup Time Target;IA_Statistik.KapSolRue;INTEGER;zz,zzz,zz9-;
72;Lagerbestand;On Hand;IA_Statistik.LB;DECIMAL;zzz,zzz,zz9.99-;
73;Lagerbestand VKE;Stock Salable Parts (Purchasing);IA_Statistik.LBVKE;DECIMAL;zzz,zzz,zz9.99-;
74;Lagerbestand VKP;Stock Salable Parts (Production);IA_Statistik.LBVKP;DECIMAL;zzz,zzz,zz9.99-;
75;Verbrauch VKEink;Material Consumption Salable Purchased Parts;IA_Statistik.MaVbrVKE;DECIMAL;zzz,zzz,zz9.99-;
76;Verbrauch VKProd;Material Consumption Salable Production Parts;IA_Statistik.MaVbrVKP;DECIMAL;zzz,zzz,zz9.99-;
77;Menge Verbrauch;Quantity Consumption;IA_Statistik.MaVerbr;DECIMAL;-zzz,zzz,zz9.999;
78;AbgWertProd;Warehouse Out to Production;IA_Statistik.PA;DECIMAL;zzz,zzz,zz9.99-;
79;Abgang Menge Prod;WHO to Production Quantity;IA_Statistik.PAM;DECIMAL;-zzz,zzz,zz9.999;
80;FertKosten Aus;Production Costs Scrap;IA_Statistik.PFKAus;DECIMAL;zzz,zzz,zz9.99-;
81;FertKosten gut;Production Costs Quantity Good;IA_Statistik.PFKGut;DECIMAL;zzz,zzz,zz9.99-;
82;Planverteilung;Plan Distribution;IA_Statistik.PlanVt;INTEGER;zzz9;
83;Zugang Wert Prod;Warehouse In Value Production;IA_Statistik.PZ;DECIMAL;zzz,zzz,zz9.99-;
84;Zugang Menge Prod;Warehouse In Quantity Production;IA_Statistik.PZM;DECIMAL;-zzz,zzz,zz9.999;
85;RE Kommission;Gross Profit CRO;IA_Statistik.ReKo;DECIMAL;zzz,zzz,zz9.99-;
86;RE Lager;Gross Profit Storage Area;IA_Statistik.ReLa;DECIMAL;zzz,zzz,zz9.99-;
87;RE Plan;Gross Profit Bdg Vals Tot;IA_Statistik.REPlan;DECIMAL;zzz,zzz,zz9.99-;
88;RE in SME;Gross Profit Statistical Unit of Measure;IA_Statistik.ReSME;DECIMAL;zzz,zzz,zz9.99-;
89;RE Strecke;Gross Profit Drop Shipment;IA_Statistik.ReSt;DECIMAL;zzz,zzz,zz9.99-;
90;Verbindlichkeiten;Liabilities;IA_Statistik.VB;DECIMAL;zzz,zzz,zz9.99-;
91;VK Fracht;Sales Freight Revenues;IA_Statistik.VKFr;DECIMAL;zzz,zzz,zz9.99-;
92;VK Gew Kommission;SL Weight CRO;IA_Statistik.VKGewKo;DECIMAL;->>>,>>>,>>9.99;
93;VK Gew Lager;SL Weight Storage Area;IA_Statistik.VKGewLa;DECIMAL;->>>,>>>,>>9.99;
94;VK Gew Strecke;SL Weight Drop Shipment;IA_Statistik.VKGewSt;DECIMAL;->>>,>>>,>>9.99;
95;VK Kommission;SL CRO;IA_Statistik.VKKo;DECIMAL;zzz,zzz,zz9.99-;
96;VK Lager;SL Storage Area;IA_Statistik.VKLa;DECIMAL;zzz,zzz,zz9.99-;
97;VK Menge Komm;SL Quantity CRO;IA_Statistik.VKMKO;DECIMAL;-zzz,zzz,zz9.999;
98;VK Menge Lager;SL Quantity Storage Area;IA_Statistik.VKMLa;DECIMAL;-zzz,zzz,zz9.999;
99;VK SME;Sales in Statistical Unit of Measure;IA_Statistik.VKMSME;DECIMAL;-zzz,zzz,zz9.999;
100;VK SME Plan;SL Bdg ScUM;IA_Statistik.VKMSMEPlan;DECIMAL;-zzz,zzz,zz9.999;
101;VK Menge Stre;SL Quantity Drop Shipment;IA_Statistik.VKMSt;DECIMAL;-zzz,zzz,zz9.999;
102;VK Plan;Sales Budgeted Values Total;IA_Statistik.VKPlan;DECIMAL;zzz,zzz,zz9.99-;
103;Preisnachlass;Price Reduction;IA_Statistik.VKPRNL;DECIMAL;zzz,zzz,zz9.99-;
104;VK SME;SL ScUM;IA_Statistik.VKSME;DECIMAL;zzz,zzz,zz9.99-;
105;VK Strecke;SL Drop Shipment;IA_Statistik.VKSt;DECIMAL;zzz,zzz,zz9.99-;
106;VK Kopfzuschlag;Sales Surcharges;IA_Statistik.VKZu;DECIMAL;zzz,zzz,zz9.99-;
107;Profitcenter;Profit Center;IA_Statistik.SBM_ProfitCenter_ID;CHARACTER;x(20);
