Station Name,ID,Lat.,Lon.,GLOSS ID,Country,Date,Coastline,Station
BREST,1,48.383,-4.495,242,FRA,30/01/2024,190,091
SWINOUJSCIE,2,53.917,14.233,,POL,19/10/2001,110,092
SHEERNESS,3,51.446,0.743,,GBR,02/02/2024,170,101
HOLYHEAD,5,53.314,-4.620,,GBR,02/02/2024,170,191
CUXHAVEN 2,7,53.867,8.717,284,DEU,13/12/2023,140,012
WISMAR 2,8,53.899,11.458,,DEU,14/04/2023,120,022
MAASSLUIS,9,51.918,4.250,,NLD,19/07/2023,150,061
SAN FRANCISCO,10,37.807,-122.465,158,USA,10/01/2024,823,031
WARNEMUNDE 2,11,54.170,12.103,,DEU,14/04/2023,120,012
NEW YORK (THE BATTERY),12,40.700,-74.013,,USA,10/01/2024,960,121
TRAVEMUNDE,13,53.958,10.872,,DEU,07/04/2022,125,001
HELSINKI,14,60.154,24.956,,FIN,05/03/2024,060,351
LIVERPOOL GEORGES AND PRINCES PIERS,15,53.400,-3.000,,GBR,27/01/2016,170,211
LYOKKI,16,60.850,21.183,,FIN,01/01/1980,060,221
LYPYRTTI,17,60.600,21.233,,FIN,01/01/1980,060,231
JUNGFRUSUND,18,59.950,22.367,,FIN,01/01/1980,060,311
VLISSINGEN,20,51.442,3.596,,NLD,19/07/2023,150,101
ABERDEEN II,21,57.150,-2.083,,GBR,01/01/1980,170,012
HOEK VAN HOLLAND,22,51.978,4.120,,NLD,19/07/2023,150,051
DEN HELDER,23,52.964,4.745,,NLD,19/07/2023,150,031
DELFZIJL,24,53.326,6.933,,NLD,19/07/2023,150,001
HARLINGEN,25,53.176,5.409,,NLD,19/07/2023,150,021
LIEPAJA,26,56.533,20.983,,LVA,30/03/2016,083,151
UTO,27,59.783,21.367,,FIN,01/01/1980,060,291
RUSSARO,28,59.767,22.950,,FIN,01/01/1980,060,316
SODERSKAR,29,60.117,25.417,,FIN,01/01/1980,060,354
RONNSKAR,30,63.067,20.800,,FIN,01/01/1980,060,061
NEDRE SODERTALJE,31,59.200,17.617,,SWE,06/11/1991,050,131
IJMUIDEN,32,52.462,4.555,,NLD,19/07/2023,150,041
OSCARSBORG,33,59.678,10.605,,NOR,18/01/2024,040,331
TRONDHEIM,34,63.433,10.433,,NOR,30/09/1991,040,141
DAUGAVGRIVA,37,57.050,24.033,,LVA,01/01/1980,083,081
VENEZIA (S.STEFANO),39,45.417,12.333,,ITA,11/04/2000,270,051
POTI,41,42.167,41.683,,GEO,24/08/2023,305,021
SEVASTOPOL,42,44.617,33.533,,UKR,03/02/1998,298,041
MUMBAI / BOMBAY (APOLLO BANDAR),43,18.917,72.833,,IND,13/02/2023,500,041
ADEN,44,12.788,44.974,3,YEM,01/02/2016,485,001
KABELVAG,45,68.213,14.482,,NOR,18/01/2024,040,091
STAVANGER,47,58.974,5.730,,NOR,18/01/2024,040,261
KIDDERPORE,48,22.533,88.333,,IND,01/01/1980,500,151
DUBLAT (SAUGOR IS.),49,21.633,88.133,,IND,01/01/1980,500,121
BATUMI,51,41.633,41.700,,GEO,24/08/2023,305,031
CASCAIS,52,38.683,-9.417,246,PRT,27/01/2016,210,021
VAASA / VASA,57,63.082,21.571,,FIN,25/05/2023,060,051
BERGEN,58,60.398,5.320,,NOR,18/01/2024,040,221
GENOVA,59,44.400,8.900,,ITA,20/01/2023,250,011
MARSEILLE,61,43.279,5.354,205,FRA,30/01/2024,230,051
OSLO,62,59.909,10.735,,NOR,18/01/2024,040,321
KOBBAKLINTAR,63,60.033,19.883,,ALA,01/01/1980,060,261
GDANSK/NOWY PORT,64,54.400,18.683,,POL,19/10/2001,110,022
"SYDNEY, FORT DENISON",65,-33.850,151.233,57,AUS,10/05/2000,680,141
MILFORD HAVEN (NEWTON NOYES),66,51.700,-5.017,,GBR,20/02/1987,170,181
LANDSORT,68,58.742,17.865,,SWE,10/09/2019,050,121
OLANDS NORRA UDDE,69,57.366,17.097,,SWE,09/06/2023,050,091
KUNGSHOLMSFORT,70,56.105,15.589,,SWE,09/06/2023,050,081
HANKO / HANGO,71,59.823,22.977,,FIN,05/03/2024,060,331
YSTAD,72,55.417,13.817,,SWE,29/07/1988,050,071
VARBERG,73,57.100,12.217,,SWE,01/01/1980,050,041
GOTEBORG - KLIPPAN,74,57.683,11.900,,SWE,01/03/2012,050,031
AARHUS,76,56.147,10.224,,DNK,27/11/2018,130,081
GRONSKAR,77,59.283,19.033,,SWE,06/11/1991,050,151
STOCKHOLM,78,59.324,18.082,341,SWE,09/06/2023,050,141
OULU / ULEABORG,79,65.040,25.418,,FIN,05/03/2024,060,011
ESBJERG,80,55.461,8.441,,DNK,27/11/2018,130,121
FREDERICIA,81,55.561,9.754,,DNK,27/11/2018,130,071
KOBENHAVN,82,55.705,12.600,,DNK,27/11/2018,130,021
VYBORG,83,60.700,28.733,,RUS,01/01/1980,080,002
LEMSTROM,84,60.100,20.017,,ALA,01/01/1980,060,271
REPOSAARI,85,61.617,21.450,,FIN,01/01/1980,060,091
YKSPIHLAJA,86,63.833,23.033,,FIN,01/01/1980,060,031
VENEZIA (ARSENALE),87,45.417,12.350,,ITA,01/01/1980,270,041
RATAN,88,63.986,20.895,,SWE,09/06/2023,050,191
HIRTSHALS,89,57.596,9.964,,DNK,27/11/2018,130,101
BJORN,90,60.633,17.967,,SWE,01/01/1980,050,161
FREDERIKSHAVN,91,57.436,10.549,,DNK,27/11/2018,130,091
TONOURA,94,34.900,132.067,326,JPN,04/05/1988,647,021
NORTH SHIELDS,95,55.007,-1.440,,GBR,02/02/2024,170,053
HALIFAX,96,44.667,-63.583,222,CAN,29/06/2017,970,011
BACKEVIK,97,58.367,11.250,,SWE,01/01/1980,050,021
SLIPSHAVN,98,55.288,10.828,,DNK,27/11/2018,130,051
NEDRE GAVLE,99,60.683,17.167,,SWE,06/11/1991,050,171
PORTO CORSINI,100,44.500,12.283,,ITA,01/01/1980,270,035
ANCONA,101,43.583,13.483,,ITA,01/01/1980,270,030
CATANIA,102,37.500,15.133,,ITA,01/01/1980,260,031
TARANTO,103,40.433,17.267,,ITA,01/01/1980,270,006
CAGLIARI,104,39.200,9.167,,ITA,01/01/1980,240,011
NAPOLI (MANDRACCHIO),105,40.843,14.258,,ITA,04/06/2019,250,051
CIVITAVECCHIA,106,42.050,11.817,,ITA,01/01/1980,250,031
PALERMO,107,38.133,13.333,,ITA,01/01/1980,260,011
PORTO MAURIZIO,108,43.867,8.017,,ITA,01/01/1980,250,001
LA MADDALENA,109,41.233,9.367,,ITA,01/01/1980,240,001
FREMANTLE,111,-32.056,115.739,53,AUS,27/02/2023,680,471
FERNANDINA BEACH,112,30.672,-81.465,,USA,10/01/2024,960,021
KORSOR,113,55.332,11.142,,DNK,27/11/2018,130,041
KLAIPEDA,118,55.700,21.133,,LTU,23/07/2019,084,161
HORNBAEK,119,56.091,12.458,,DNK,27/11/2018,130,031
GEDSER,120,54.573,11.926,,DNK,27/11/2018,130,001
IWASAKI,121,40.583,139.917,,JPN,01/01/1980,647,101
DRAGHALLAN,122,62.367,17.533,,SWE,01/01/1980,050,181
TROIS-RIVIERES,126,46.333,-72.550,,CAN,16/02/2024,970,078
SEATTLE,127,47.602,-122.338,,USA,16/01/2024,823,011
NAPOLI (ARSENALE),129,40.867,14.267,,ITA,01/01/1980,250,041
ABURATSUBO,130,35.160,139.615,,JPN,04/03/2024,642,091
AYUKAWA,131,38.297,141.505,,JPN,04/03/2024,642,031
WAJIMA,132,37.406,136.900,,JPN,04/03/2024,647,071
HOSOJIMA,133,32.429,131.669,,JPN,04/03/2024,645,011
KUSHIMOTO,134,33.476,135.773,85,JPN,04/03/2024,642,141
PHILADELPHIA (PIER 9N),135,39.933,-75.142,,USA,10/01/2024,960,087
PORT-SAINT-FRANCOIS,137,46.267,-72.617,,CAN,16/02/2024,970,076
POINTE-AU-PERE,138,48.517,-68.467,,CAN,25/10/1993,970,061
HANASAKI,139,43.283,145.583,,JPN,01/01/1980,641,011
STROMSTAD,140,58.950,11.183,,SWE,06/11/1991,050,001
SKURU,142,60.100,23.550,,FIN,13/09/1988,060,344
BATISCAN,144,46.500,-72.250,,CAN,16/02/2024,970,082
"MANILA, S. HARBOR",145,14.583,120.967,73,PHL,13/06/2023,660,011
HEL,146,54.600,18.800,,POL,30/03/2016,110,042
BALTIMORE,148,39.267,-76.578,,USA,10/01/2024,960,081
AUCKLAND II,150,-36.843,174.769,127,NZL,09/06/2003,690,002
TRIESTE,154,45.647,13.758,340,ITA,25/01/2022,270,061
HONOLULU,155,21.307,-157.867,108,USA,26/01/2024,760,031
BUENOS AIRES,157,-34.600,-58.367,,ARG,14/05/1991,860,151
SAN DIEGO (QUARANTINE STATION),158,32.713,-117.173,,USA,16/01/2024,823,081
OSHORO I,159,43.217,140.867,,JPN,01/01/1980,641,041
"GALVESTON II, PIER 21, TX",161,29.310,-94.793,217,USA,10/01/2024,940,008
LAGOS,162,37.100,-8.667,,PRT,27/01/2016,210,031
BALBOA,163,8.967,-79.567,168,PAN,08/07/2021,840,011
KOTKA,164,60.450,26.950,,FIN,01/01/1980,060,358
TOFINO,165,49.150,-125.917,156,CAN,16/02/2024,822,116
VICTORIA,166,48.417,-123.367,,CAN,16/02/2024,822,101
PRINCE RUPERT,167,54.317,-130.333,155,CAN,07/02/2023,822,001
VENEZIA (PUNTA DELLA SALUTE),168,45.433,12.333,,ITA,27/01/2016,270,054
CRISTOBAL,169,9.350,-79.917,208,PAN,16/01/2012,904,011
NEDRE NYKOPING,170,58.750,17.017,,SWE,01/01/1980,050,111
MANTYLUOTO,172,61.594,21.463,,FIN,05/03/2024,060,101
QUEBEC (LAUZON),173,46.833,-71.167,,CAN,07/05/2013,970,071
KO LAK,174,11.800,99.817,39,THA,15/09/2023,600,021
VANCOUVER,175,49.283,-123.117,,CAN,16/02/2024,822,071
HARRINGTON HBR,176,50.500,-59.483,,CAN,25/10/1993,970,101
SMOGEN,179,58.354,11.218,,SWE,13/06/2023,050,011
ATLANTIC CITY,180,39.355,-74.418,220,USA,16/01/2024,960,091
COMODORO RIVADAVIA,181,-45.867,-67.483,,ARG,01/01/1980,860,021
PORTLAND  (MAINE),183,43.657,-70.247,,USA,26/01/2024,960,181
PUERTO DESEADO,185,-47.750,-65.917,190,ARG,08/02/2023,860,011
KEY WEST,188,24.555,-81.807,216,USA,10/01/2024,940,071
PORT HEDLAND,189,-20.318,118.574,51,AUS,01/02/2024,680,494
DUNBAR,190,56.006,-2.517,,GBR,01/01/1980,170,041
NEUVILLE,192,46.700,-71.567,,CAN,16/02/2024,970,089
POINT ATKINSON,193,49.333,-123.250,,CAN,16/02/2024,822,051
PIETARSAARI  /  JAKOBSTAD,194,63.709,22.690,,FIN,05/03/2024,060,041
"SAINT JOHN, N.B.",195,45.267,-66.067,,CAN,16/02/2024,970,001
"SYDNEY, FORT DENISON 2",196,-33.855,151.226,57,AUS,01/02/2024,680,140
CEDAR KEY I,199,29.133,-83.033,,USA,01/01/1980,940,051
DESCHAILLONS,201,46.567,-72.100,,CAN,16/02/2024,970,074
NEWLYN,202,50.103,-5.543,241,GBR,02/02/2024,170,161
FURUOGRUND,203,64.916,21.231,,SWE,09/06/2023,050,201
KARACHI,204,24.812,66.975,30,PAK,30/11/2017,490,021
CHENNAI,205,13.100,80.300,34,IND,27/04/2023,500,091
PORT BLAIR,206,11.683,92.767,38,IND,31/08/2022,540,001
"PUERTO PRINCESA, PALAWAN",207,9.750,118.733,,PHL,26/10/2021,660,111
ALICANTE 1,208,38.338,-0.478,,ESP,09/06/2021,220,051
CADIZ II,209,36.528,-6.311,,ESP,26/06/2013,220,002
RANGOON,210,16.767,96.167,,MMR,01/01/1980,530,011
BOMBAY (PRINCES DOCK),212,18.950,72.833,,IND,01/01/1980,500,051
BLUFF (SOUTHLAND HARBOUR),213,-46.598,168.345,129,NZL,18/09/2023,690,041
FELIXSTOWE,214,51.958,1.347,,GBR,14/05/2012,170,071
TUAPSE,215,44.100,39.067,98,RUS,28/06/2023,300,001
PORT PIRIE,216,-33.178,138.012,,AUS,01/02/2024,680,391
AUCKLAND-WAITEMATA HARBOUR,217,-36.843,174.769,127,NZL,27/08/1999,690,001
BELFAST 2,219,54.600,-5.917,,GBR,31/05/1989,170,272
WELLINGTON HARBOUR,221,-41.284,174.780,101,NZL,18/09/2023,690,011
QUEQUEN,223,-38.583,-58.700,,ARG,05/04/1990,860,081
LEWES (BREAKWATER HARBOR),224,38.782,-75.120,,USA,10/01/2024,960,085
KETCHIKAN,225,55.332,-131.625,,USA,10/01/2024,821,051
SAPPI,226,61.483,21.333,,FIN,01/01/1980,060,111
SUR SARI,227,60.083,26.983,,RUS,01/01/1980,080,001
SALGRUND,228,62.333,21.200,,FIN,01/01/1980,060,081
KEMI,229,65.673,24.515,,FIN,05/03/2024,060,001
PORT LINCOLN,230,-34.716,135.870,,AUS,01/02/2024,680,431
HELIGMAN,231,60.200,19.300,,ALA,01/01/1980,060,251
LOHM,233,60.100,21.667,,FIN,01/01/1980,060,301
CHARLESTON I,234,32.782,-79.925,,USA,10/01/2024,960,041
BOSTON,235,42.353,-71.053,,USA,10/01/2024,960,171
WEST-TERSCHELLING,236,53.363,5.220,,NLD,19/07/2023,150,011
PRIMORSK,237,60.350,28.617,,RUS,01/01/1980,080,004
TVARMINNE,238,59.850,23.250,,FIN,01/01/1980,060,306
TURKU / ABO,239,60.428,22.101,,FIN,05/03/2024,060,241
RAAHE / BRAHESTAD,240,64.666,24.407,,FIN,05/03/2024,060,021
LOS ANGELES,245,33.720,-118.272,,USA,10/01/2024,823,051
PENSACOLA,246,30.403,-87.210,288,USA,16/01/2024,940,041
PORT LYTTELTON,247,-43.606,172.722,,NZL,18/09/2023,690,021
JOHOR BAHRU,248,1.462,103.792,,MYS,04/05/2017,550,011
FOGLO / DEGERBY,249,60.032,20.385,,ALA,05/03/2024,060,281
DUNEDIN,252,-45.879,170.513,,NZL,01/01/1980,690,031
PORT SAID,253,31.250,32.300,,EGY,01/01/1980,330,001
DOVER,255,51.114,1.323,,GBR,02/02/2024,170,111
LA JOLLA (SCRIPPS PIER),256,32.867,-117.257,159,USA,16/01/2024,823,071
AVONMOUTH,257,51.508,-2.713,,GBR,27/01/2016,170,171
PONTA DELGADA,258,37.736,-25.671,245,PRT,13/08/2019,360,001
LYTTELTON II,259,-43.606,172.722,,NZL,17/01/2003,690,022
"JOLO, SULU",260,6.067,121.000,70,PHL,30/03/1999,660,141
ASTORIA (TONGUE POINT),265,46.207,-123.768,,USA,10/01/2024,823,013
SEWARD,266,60.120,-149.427,150,USA,16/01/2024,821,017
NEWCASTLE III,267,-32.917,151.800,,AUS,12/04/1989,680,133
MACAU,269,22.200,113.550,,MAC,06/09/1990,609,001
DAYTONA BEACH,270,29.233,-81.000,,USA,01/01/1980,960,006
MOMMARK,271,54.933,10.067,,DNK,01/01/1980,130,061
DURBAN,284,-29.874,31.051,13,ZAF,02/11/2023,430,091
KASKINEN / KASKO,285,62.344,21.215,,FIN,05/03/2024,060,071
IMMINGHAM,286,53.630,-0.187,,GBR,02/02/2024,170,061
SEAVEY ISLAND,288,43.080,-70.742,,USA,26/10/1990,960,177
PIONERSKY,289,54.950,20.217,97,RUS,29/06/1988,080,181
"SEWELLS POINT, HAMPTON ROADS",299,36.947,-76.330,,USA,10/01/2024,960,071
"HILO,  HAWAII ISLAND",300,19.730,-155.055,287,USA,26/01/2024,760,061
TREGDE,302,58.006,7.555,321,NOR,18/01/2024,040,301
SANTA CRUZ DE TENERIFE I,303,28.477,-16.241,,ESP,17/11/1993,370,021
BEACHPORT,304,-37.500,140.000,,AUS,31/05/1989,680,251
YAMBA,310,-29.430,153.362,,AUS,21/02/2024,680,101
ANNAPOLIS (NAVAL ACADEMY),311,38.983,-76.480,,USA,10/01/2024,960,080
NARVIK,312,68.428,17.426,,NOR,18/01/2024,040,081
HEIMSJOEN,313,63.425,9.102,,NOR,18/01/2024,040,151
STORNOWAY,314,58.208,-6.389,238,GBR,02/02/2024,170,251
HAMINA,315,60.563,27.179,,FIN,05/03/2024,060,361
MAYPORT,316,30.393,-81.432,,USA,01/06/2001,960,011
BOURGAS,317,42.483,27.483,,BGR,27/08/1997,295,021
VARNA,318,43.183,27.917,,BGR,27/08/1997,295,051
BALLINA,319,-28.867,153.583,,AUS,01/01/1980,680,081
NEWCASTLE I,320,-32.917,151.800,,AUS,01/01/1980,680,131
TALLINN,321,59.450,24.800,,EST,01/01/1980,082,011
VILSANDI,322,58.383,21.817,,EST,01/01/1980,082,021
LIMHAMN,323,55.583,12.933,,SWE,01/01/1980,050,061
KLAGSHAMN,330,55.522,12.894,,SWE,09/06/2023,050,051
TAKORADI,331,4.885,-1.745,335,GHA,15/03/2013,410,001
EASTPORT,332,44.903,-66.982,,USA,26/01/2024,960,201
NORTH POINT,333,22.300,114.200,77,HKG,01/01/1980,611,011
SOUTHEND,334,51.514,0.724,,GBR,17/05/2016,170,081
TILBURY,335,51.467,0.367,,GBR,17/01/2018,170,083
TOWER PIER,336,51.500,0.083,,GBR,17/01/2018,170,092
PORTSMOUTH,350,50.802,-1.111,,GBR,02/02/2024,170,131
NEWPORT,351,41.505,-71.327,290,USA,10/01/2024,960,161
SPLIT - GRADSKA LUKA,352,43.507,16.442,,HRV,11/07/2019,280,031
BAKAR,353,45.305,14.540,,HRV,10/05/2024,280,011
MERA,359,34.919,139.825,86,JPN,04/03/2024,642,061
WASHINGTON DC,360,38.873,-77.022,,USA,10/01/2024,960,076
ABERDEEN I,361,57.144,-2.077,,GBR,02/02/2024,170,011
WILLETS POINT,362,40.793,-73.782,,USA,01/06/2001,960,141
MIAMI BEACH,363,25.768,-80.132,,USA,05/10/1987,960,001
GDYNIA,364,54.533,18.550,,POL,01/01/1980,110,032
LINAKHAMARI,365,69.650,31.367,,RUS,01/01/1980,030,025
SANDY HOOK,366,40.467,-74.008,,USA,10/01/2024,960,101
WOODS HOLE (OCEAN. INST.),367,41.523,-70.672,,USA,10/01/2024,960,165
ST. GEORGES / ESSO PIER (BERMUDA),368,32.373,-64.703,221,BMU,26/01/2024,950,011
GARDEN REACH,369,22.550,88.300,,IND,11/04/2023,500,141
THESSALONIKI,373,40.633,22.935,,GRC,15/10/2020,290,051
PIRAIEVS,374,37.937,23.627,,GRC,20/02/2024,290,031
KAVALLA,375,40.935,24.412,,GRC,20/02/2024,290,061
RAUMA / RAUMO,376,61.134,21.426,,FIN,05/03/2024,060,121
SANTA MONICA (MUNICIPAL PIER),377,34.008,-118.500,,USA,10/01/2024,823,049
CRESCENT CITY,378,41.745,-124.182,,USA,10/01/2024,823,021
CONSTANTZA,379,44.167,28.667,,ROU,01/07/1998,297,021
ANGRA DO HEROISMO,380,38.650,-27.233,,PRT,04/11/1998,360,011
PORT WALLAROO,383,-33.933,137.633,,AUS,01/01/1980,680,381
FRIDAY HARBOR (OCEAN. LABS.),384,48.547,-123.010,,USA,10/01/2024,823,006
NEAH BAY,385,48.367,-124.612,,USA,16/01/2024,823,001
THEVENARD,386,-32.149,133.641,308,AUS,01/02/2024,680,441
GRONDINES,387,46.583,-72.033,,CAN,04/06/1996,970,085
FORCADOS,389,5.350,5.350,,NGA,05/10/1992,420,011
DUTCH HARBOR,390,53.900,-166.533,102,USA,01/01/1980,820,020
PORT AUX BASQUES,392,47.567,-59.133,,CAN,16/02/2024,970,111
"ST. JOHN'S, NFLD.",393,47.567,-52.717,223,CAN,16/02/2024,970,121
CEBU,394,10.300,123.917,,PHL,13/06/2023,660,101
FORT PULASKI,395,32.033,-80.902,289,USA,10/01/2024,960,031
WILMINGTON,396,34.227,-77.953,,USA,26/01/2024,960,060
SASSNITZ,397,54.511,13.643,,DEU,14/04/2023,120,004
KJOLSDAL,398,61.917,5.633,,NOR,10/10/1994,040,201
PORTSMOUTH (NORFOLK NAVY YARD),399,36.822,-76.293,,USA,26/06/1990,960,065
NEVLUNGHAVN,401,58.967,9.883,,NOR,01/01/1980,040,311
FRANKLIN HARBOR,402,-33.683,136.933,,AUS,01/01/1980,680,421
JUNEAU,405,58.298,-134.412,,USA,16/01/2024,821,044
UCHIURA,407,35.017,138.890,,JPN,04/03/2024,642,118
KHIOS,408,38.372,26.141,,GRC,20/02/2024,290,071
POSIDHONIA,409,37.951,22.960,,GRC,20/02/2024,290,011
PREVEZA,410,38.959,20.757,,GRC,20/02/2024,290,001
KALAMAI,411,37.024,22.116,,GRC,20/02/2024,290,021
SOLOMON'S ISLAND (BIOL. LAB.),412,38.317,-76.452,,USA,10/01/2024,960,078
OOSTENDE,413,51.233,2.917,,BEL,26/01/2024,160,021
VISAKHAPATNAM,414,17.683,83.283,35,IND,24/02/2023,500,101
PORT OF SPAIN,415,10.650,-61.517,203,TTO,15/11/1999,890,001
SAUGOR/SAGAR,417,21.650,88.050,,IND,27/01/2016,500,111
GUANTANAMO BAY,418,19.907,-75.147,,CUB,17/07/2001,930,051
BHAUNAGAR I,420,21.800,72.300,,IND,01/01/1980,500,030
AKYAB,421,20.133,92.900,37,MMR,01/01/1980,530,001
ANDENES,425,69.326,16.135,322,NOR,18/01/2024,040,041
SITKA,426,57.052,-135.342,154,USA,10/01/2024,821,031
CHARLOTTETOWN,427,46.233,-63.117,,CAN,16/02/2024,970,031
CEDAR KEY II,428,29.135,-83.032,,USA,10/01/2024,940,052
NEW LONDON,429,41.360,-72.090,,USA,10/01/2024,960,151
PROVIDENCE (STATE PIER),430,41.807,-71.400,,USA,10/01/2024,960,158
MONTEVIDEO (PUNTA LOBOS),431,-34.900,-56.250,300,URY,20/02/2024,870,011
DUBLIN,432,53.350,-6.217,,IRL,15/03/2017,175,071
COLONIA,433,-34.483,-57.850,,URY,23/05/1996,870,001
PUNTA DEL ESTE,434,-34.967,-54.950,,URY,23/05/1996,870,021
DOUGLAS,435,54.150,-4.467,,IMN,07/04/1992,170,231
FAMAGUSTA,436,35.117,33.950,,CYP,09/11/1989,315,001
ALAMEDA (NAVAL AIR STATION),437,37.772,-122.298,,USA,10/01/2024,823,032
COCHIN (WILLINGDON IS.),438,9.967,76.267,32,IND,24/02/2023,500,081
PORT MORESBY,439,-9.483,147.133,,PNG,20/05/1996,670,011
EUGENE ISLAND,440,29.372,-91.385,,USA,26/10/1990,940,011
BERLEVAG,442,70.850,29.100,,NOR,01/01/1980,040,011
SECOND VALLEY,443,-35.517,138.167,,AUS,01/01/1980,680,321
FORT PHRACHULA CHOMKLAO (POM PHRACHUN),444,13.550,100.583,,THA,15/09/2023,600,041
YAKUTAT,445,59.548,-139.733,,USA,16/01/2024,821,026
KO TAPHAO NOI,446,7.833,98.433,42,THA,15/09/2023,545,001
CHURCHILL,447,58.767,-94.183,,CAN,16/02/2024,970,141
PORT ADELAIDE (OUTER HARBOR),448,-34.780,138.481,,AUS,01/02/2024,680,311
KO SICHANG,449,13.150,100.817,,THA,28/05/2003,600,051
LE HAVRE,453,49.482,0.106,,FRA,30/01/2024,190,051
ST. MALO,454,48.641,-2.028,,FRA,30/01/2024,190,071
CALAIS,455,50.969,1.868,,FRA,30/01/2024,190,011
BUENAVENTURA,456,3.900,-77.100,170,COL,04/11/2015,842,011
ST. NAZAIRE,457,47.270,-2.200,,FRA,30/01/2024,190,111
MATARANI,458,-17.000,-72.117,,PER,01/03/1990,848,051
LE VERDON,459,45.550,-1.067,,FRA,01/01/1980,190,131
HACHINOHE I,460,40.533,141.533,,JPN,01/01/1980,642,001
